2015-06-23,84,73,10,5,0,Thunderstorm
2015-06-24,83,78,10,3,0, 
2015-06-25,83,76,10,4,0, 
2015-06-26,85,73,10,6,0, 
2015-06-27,83,75,10,1,0.01,"Rain , Thunderstorm"
2015-06-28,82,73,9,2,0.08,"Rain , Thunderstorm"
2015-06-29,84,75,9,5,0, 
2015-06-30,84,76,7,4,0.75,"Fog , Rain , Thunderstorm"
2015-07-01,81,78,10,4,0,Rain
2015-07-02,81,78,10,6,0, 
2015-07-03,84,69,9,6,0, 
2015-07-04,84,73,10,7,0, 
2015-07-05,84,75,10,7,0, 
2015-07-06,84,72,9,8,0, 
2015-07-07,85,71,10,8,0, 
2015-07-08,85,69,9,8,0, 
2015-07-09,85,65,9,8,0, 
2015-07-10,84,68,9,6,0, 
2015-07-11,83,69,10,5,0, 
2015-07-12,84,67,10,5,0, 
2015-07-13,86,69,10,5,0, 
2015-07-14,86,61,10,6,0, 
2015-07-15,85,64,10,6,0, 
2015-07-16,85,69,10,6,0, 
2015-07-17,86,66,10,7,0, 
2015-07-18,88,65,10,7,0, 
2015-07-19,87,65,10,6,0, 
2015-07-20,86,66,10,5,0, 
2015-07-21,86,66,10,6,0, 
2015-07-22,87,64,10,7,0, 
2015-07-23,88,62,10,7,0, 
2015-07-24,88,62,10,6,0, 
2015-07-25,87,66,10,5,0, 
2015-07-26,87,67,9,6,0, 
2015-07-27,89,62,9,6,0, 
2015-07-28,89,63,9,8,0, 
2015-07-29,89,61,10,6,0, 
2015-07-30,88,55,10,2,0, 
2015-07-31,90,52,10,4,0, 
2015-08-01,86,47,10,3,0, 
2015-08-02,88,48,10,3,0, 
2015-08-03,87,54,10,4,0, 
2015-08-04,89,62,10,6,0, 
2015-08-05,90,59,10,7,0, 
2015-08-06,90,59,10,7,0, 
2015-08-07,89,61,10,6,0, 
2015-08-08,90,66,10,10,0, 
2015-08-09,89,65,-,-,0, 
2015-08-10,90,62,-,6,0, 
2015-08-11,90,-,-,-,0, 
2015-08-12,92,43,10,3,0, 
2015-08-13,91,51,10,3,0, 
2015-08-14,90,58,10,4,0, 
2015-08-15,89,54,10,3,0,Thunderstorm
2015-08-16,87,58,10,4,0, 
2015-08-17,86,61,10,4,0, 
2015-08-18,88,62,10,7,0, 
2015-08-19,89,62,10,6,0, 
2015-08-20,79,78,8,4,0.35,"Rain , Thunderstorm"
2015-08-21,82,73,9,5,0,Rain
2015-08-22,87,65,10,6,0, 
2015-08-23,89,64,10,5,0, 
2015-08-24,89,58,10,2,0, 
2015-08-25,89,56,10,3,0, 
2015-08-26,86,62,10,3,0, 
2015-08-27,86,56,10,4,0, 
2015-08-28,85,50,10,4,0, 
2015-08-29,83,55,10,3,0, 
2015-08-30,86,55,10,3,0, 
2015-08-31,86,59,10,5,0, 
2015-09-01,84,64,10,5,0, 
2015-09-02,83,65,10,4,0, 
2015-09-03,84,64,10,3,0, 
2015-09-04,88,62,10,6,0, 
2015-09-05,90,62,10,7,0.01, 
2015-09-06,88,63,10,6,0, 
2015-09-07,88,61,10,6,0, 
2015-09-08,88,61,10,5,0, 
2015-09-09,84,74,8,3,1.05,"Rain , Thunderstorm"
2015-09-10,84,71,7,2,0.79,"Fog , Rain , Thunderstorm"
2015-09-11,84,72,8,3,0, 
2015-09-12,80,55,10,5,0, 
2015-09-13,77,49,10,4,0, 
2015-09-14,77,53,10,5,0, 
2015-09-15,84,67,10,5,0, 
2015-09-16,84,72,9,6,0.04,Rain
2015-09-17,86,67,10,6,0, 
2015-09-18,86,64,10,6,0, 
2015-09-19,85,60,10,3,0, 
2015-09-20,82,60,-,3,0, 
2015-09-21,84,57,-,4,0, 
2015-09-22,84,56,10,4,0, 
2015-09-23,81,58,10,2,0, 
2015-09-24,82,49,10,2,0, 
2015-09-25,84,58,10,2,0,"Rain , Thunderstorm"
2015-09-26,82,54,10,3,0, 
2015-09-27,81,50,10,2,0, 
2015-09-28,79,64,10,3,0, 
2015-09-29,81,63,10,2,0, 
2015-09-30,83,56,10,2,0, 
2015-10-01,82,52,9,4,0, 
2015-10-02,78,45,10,5,0, 
2015-10-03,72,40,10,3,0, 
2015-10-04,73,45,10,2,0, 
2015-10-05,76,45,10,2,0, 
2015-10-06,77,44,10,3,0, 
2015-10-07,77,54,10,3,0, 
2015-10-08,80,64,10,3,0, 
